Month,Hour,DayOfWeek,Holiday,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,EnergyConsumption
11,10,1,1,25.4786052652077,52.6418272170404,1089.60722214381,5,0,0,7.92956844465301,91.5424203345317
12,16,2,1,22.5738993094217,55.3648009734899,1445.77738662549,4,1,1,14.2147588630883,65.2860076344678
2,8,4,0,25.5666093855281,35.1010914335086,1535.81208770371,8,1,0,3.84935366420473,82.9104704449985
9,23,2,1,20.2079403328477,50.9386659879054,1384.00502279447,4,0,0,11.4998137378799,78.9485756176195
10,12,3,1,20.0345577054639,54.9834084412298,1933.49873632808,6,0,0,16.7089758721668,72.4956367265983
7,1,2,1,25.5514253330575,53.4266597164305,1000.512661,3,1,1,23.7399832167759,96.1838530656025
12,16,2,0,25.9013780517203,30.015975,1834.79695432844,2,0,0,4.2345331896548,71.9613781121599
11,22,1,1,22.8868850038026,48.9850213884475,1000.512661,1,1,1,12.9600432853122,72.6972720866275
7,6,6,0,20.007565,59.0480643815173,1263.56693529014,0,1,1,19.7616685296107,55.2749928211262
7,14,5,1,25.5027923091663,59.969085,1723.1054051512,6,0,1,4.81777965566607,83.9441614816396
10,17,3,1,24.7465407966378,59.969085,1225.42776701568,2,0,1,1.42887478876686,69.6220655827862
4,14,3,1,20.007565,45.0817883467869,1675.1014647628,0,0,1,3.42719250358871,66.867099974486
10,8,5,1,20.007565,39.2789356928811,1627.29994910371,4,0,0,17.1523049100717,72.2911378384007
10,23,6,1,27.8556511263957,51.8974373002849,1609.75654088649,0,0,1,21.8556421159919,62.6733412037672
5,20,4,1,21.575678761751,55.7403163257409,1770.89717900988,6,1,0,0.006642,61.9973726483884
6,20,4,1,23.9230848512464,43.0908560817393,1749.24027655532,5,1,0,15.5758109862203,77.1293853792182
1,3,6,1,29.6861600835135,33.9996025541026,1419.46206081722,5,1,1,11.9441442666388,85.1825525034628
12,3,0,0,27.1381919777804,42.4668728616056,1498.15244557584,2,1,0,17.5584766497465,71.6236746531134
9,8,6,1,20.0420613393816,47.219626233882,1674.19902696607,9,1,0,23.9261161707552,64.0998804461221
11,23,1,1,21.6077845584001,53.7302328993449,1999.982252,6,1,0,15.9011334909014,72.5792320593806
12,19,0,1,22.2532766203066,37.8065747333845,1911.49526594831,7,1,0,5.03345858098325,66.5338652242495
12,5,1,0,24.6492365626142,54.8421508871935,1257.89291916167,4,1,0,29.965327,62.4948124315088
1,23,2,0,26.8805618169361,51.6234856409079,1118.16748619561,4,0,1,16.4012043692549,76.9339196411834
12,9,3,1,23.1090859210039,49.8274081573416,1502.94396340332,7,1,0,29.965327,82.8256909842485
4,12,5,1,29.1974885653588,54.7663424369929,1629.80137212452,9,1,0,29.965327,99.1277101449528
4,1,5,0,26.2215002307803,39.3752616037914,1333.00070918601,0,1,0,20.0146500056828,70.6421883226308
7,3,4,1,21.6007061384192,40.9001373417519,1463.10142030433,0,1,0,11.185745965373,53.5789108868338
11,16,3,1,22.2484925322888,59.969085,1231.48209087934,1,0,1,0.006642,69.1722308780546
12,17,2,1,24.9404303063677,31.9076804391051,1663.07174163345,5,0,0,28.2518876142888,72.9235582248933
4,8,3,1,22.1035174043832,45.006366359915,1910.29628422865,3,1,0,9.61870564599827,58.7131965873771
4,4,0,1,26.7464626608192,38.099369256093,1712.46208459303,0,1,1,13.9811388148615,79.9445159417426
12,5,6,0,23.1477139596938,39.0836952677122,1991.28529699852,2,0,0,28.5415007681173,68.7797299400823
